number,네이버 장점,네이버 단점,카카오 장점,카카오 단점,라인 장점,라인 단점,쿠팡 장점,쿠팡 단점,배민 장점,배민 단점,페이스북 장점,페이스북 단점,아마존 장점,아마존 단점,애플 장점,애플 단점,넷플릭스 장점,넷플릭스 단점,구글 장점,구글 단점
10,"풀 재택 근무 가능 (2023년 기준)
전 직군에 걸쳐 실력있는 동료들이 많음
기본 이상의 퀄리티 있는 결과물
업계 내에서 괜찮은 수준의 급여와 복지","TO 자체가 너무 적어서 들어가기가 어려움
생각보다 더 삭막하고 경직된 사내 분위기
팀바팀이겠지만 대체로 좋은 팀웍을 기대하긴 어려운듯",워라벨이 좋은 회사 수평적인 회사 의견제시가 비교적 자유롭다,"책임도 수평적으로 진다. 리더는 책임을지지 않고 도망가기 일쑤

네임에 비해 페이가 높지는 않다. 끼리끼리 문화가 강함","능력이 좋은 동료들
재택근무
오픈 디스커션
리즈너블한 CEO","극악의 온보딩
회의가 많음
파편화된 플랫폼
이상한 합병과정","똑똑한 동료들과 일하고 있다는 걸 느낌
자신의 분야에서 뚜렷한 성장을 이룰 수 있음","생각보다 후려쳐진 연봉(들어오기 전 잘 알아보세요)
일을 너무 많이해서 개인적 발전은 힘듦","비포괄
주 32시간
재택근무 (내년부터 재택/오프라인 혼합)
열심히 일하고 배려심 많은 동료들","DH 리스크
전략이 없는 경영진
워라밸 나쁨 (주 32시간이지만 실제 근무시간 훨씬 김)","이름만큼이나 좋은 회사문화
자유로운 출퇴근과 워라밸
아침점심제공",팀바팀이겠지만 팀 크기가 각각 달라 업무방식 조금 다름,"급여, 분위기, 직원들 간의 업무 문화
1위 기업에서 일한다는 자부심","일부 경영진의 한국식 사고방식, 소통
주말도, 저녁도 없는 삶","네임밸류와 회사제품할인
애플다닌다고 했을때 사람들의 호의적인 반응","모든것이 과하게 복잡합니다
일을 튀기고 튀기고 튀겨서 일부러 복집하게 만든 것 같습니다. 하지만 명확한 가이드라인도 없습니다. 추천하지 않습니다","자유로운 업무환경, 사람을 압박하지 않아서 좋음. 타의에 의해서가 아닌 자의에 의해서 자극을 받고, 열심히 일 할 수 있는 회사라는 점은 높게 살만 함. 주변에 똑똑한 사람들이 많아 도움 받을 수 있음.","리더들이 우유부단하고, 경험이 부족해 보임. 팀 및 피플 매니징해본 리더가 많이 없어서 팀의 방향성이 부족함. 컬처가 중요하다고 하는데, 리더 본인이 필요할때만 컬처를 운운하며 무기로 사용함. 정작 회사 내에 일어나고 있는 여러가지 일들을 보면 ‘넷플릭스 컬처’ 라는 것은 없어보임. 피드백 문화도 강조하는 것 중에 하나인데, 실상 피드백을 주고 나면 추후 팔로우업이 부족함.","워라밸
기업문화
퍼포먼스 잘 나온다면 compensation 도 굳","퍼포먼스에 대한 압박
보여주기식 일하는 방식
성장 가능성"
11,일하는데 집중할 수 있는 환경. 개발 인프라가 잘 돼있어서 쓸줄만 안다면 도움이 많이 됨,받아들이기 나름이지만 뒤쳐지진 않을까 하는 불안감이 있어서 가끔 속도 조절이 필요함,"워라밸, 복지, 커리어 성장하기 좋은 회사
아이 낳고 다니기 좋은 회사","경영진이 챙기는게 많아서 급여는 최저수준
회사 방향성이 명확하지 않음
개인의 성장에는 좋은 회사지만 회사 성장은 답안나옴",워라밸이 좋고 훌륭한 동료들이 있어 나머지 단점 상쇄됨,"커리어에 도움되는 지 모르겠음
자주 엎어지고 일정이 고무줄","여러 기술 습득
팀별로 다르겠지만 워라밸 좋음
개발자의 파워가 셈","수많은 절차로 인한 생산성 저하
성과를 낼수없는 구조에서 평가를 진행하다보니 불공정",비포괄 32시간 근무가 깡패임. 야근 수당 꼬박꼬박 잘 챙겨줌,일이빡셈 야근 종용하는 문화. 야근안하면 눈치보일정도임,하이어링 과정이 빡빡한 만큼 평균적으로 좋은 동료들이 많음,시스템이 부족해 처음 적응 과정이 헬 중의 헬. 연차보단 회사 근무 기간이 갑인 회사,"aws라는 네임밸류
훌륭한 동료
센터필드라는 좋은 근무 환경
재택 근무","근무 경력이 길어날수록 요구하는 것이 많아짐
오래 다니려면 승진을 위한 전략이 필요
4년짜리 계약직 같은 느낌
복지가 거의 없음","글로벌한 조직 내 다양한 사람들과 일할수 있다
오래 다니기 좋은 회사","휴가가서도 일은 해야함
노력하면 워라밸을 챙길 순 있음","각자 하는 일에 대해 자부심이 넘치는 사람들과 이를 뒷받침하는 실력

아침 점심 간식 모두 제공","나를 제외하고 모두가 잘 하는 느낌이 들 때가 있다

영어를 많이 잘 해야 한다","네임밸류
- 높은 자유도
- 수평적 분위기
- 맛있는 밥","성과 스트레스
많은 업무량
비체계
과거 대비"
12,"재택
실력있는 동료
복지(리조트 등등)
네이버라는 브랜드","사람 쥐어짬
워라벨 없음
병 얻는 직원들 많음
(회사에 병원있는 이유 좀..)",정시 출퇴근. 판교역에서 안 나가고 바로 출퇴근 가능. 같이 일하는 사람 너무너무 좋음.,입사 초반이라 아직은 잘 모르겠음. 더 다녀봐야 알 듯 함.,재택이 일단 최고의 복지이고 외의 복지도 좋은편임. 업계에서 괜찮은 편이라 생각함,합병된 이후에 어수선해지긴해서 좀 더 두고봐야 할 듯 ,"복지가 곧 연봉인게 가장 큰 장점이자 유일한 장점
비교적 젊은층","그러나 개인의 삶은 없음
팀바팀 부바부이긴 하나 일단 워라벨은…","비포괄 없었으면 진즉에 나갔을듯
돈얻고 건강 잃고 싶은 사람들에게 추천합니다","극악의 업무강도 살려줘요
팀바팀도 너무 심해요 정시퇴근 해보고싶다",뛰어난 한국 및 외국 인재들과 일하면서 엄청난 자극을 받고 성장할 수 있는 기회,초대형 스타트업처럼 중구난방으로 일해서 삽질할 때도 종종 있음,"회사 문화, 각종 교육 프로그램, 적절히 조절가능한 워라밸","구내식당이 없음, 관리시스템의 부재, 개개인의 능력에 의존","애플이라는 점
할인, 주식
누구에겐? 스케쥴근무
유니폼","10만원 식대
상여금 없음
앞뒤다른 동료들
올라갈 수 없는 구조",일단 급여가 좀 생각보다 높은 편입니다. 워라벨 매우 중요한데.. 아주 잘 지켜지고 있어요,한국형 꼰대들이 너무 많습니다… 그것만 아니면 근무하기 최고의 회사같아요,그래도 구글은 구글임 본사와 좀 많이 다르지만 비슷하게 따라함,"이상한 로컬룰과 답답한 오피스, 안 오는 엘리베이터와 미어터지는 까페"
13,"나이스한 사람들, 성장과 내일을 위해 치열하게 고민하는 동료들이 많이 모여있음","개인의 시간을 많이 투자해야하고, 스타플레이어 의견에 의존적임","진리의 부바부이지만 대부분 워라밸 챙겨가는 분위기
대체적으로 사람들이 착한듯","임원진리스크가 심함
규모는 커졌고 사람은 많아졌는데 아직 스타트업 마인드를 못벗어남",재직중인 입장에서 뭔가 엄청난 복지나 혜택은 없는거 같은데 막상 다른 대기업이나 IT기업 판교쪽 큰 게임사 친구들 만나서 이야기 해보면 꽤나 직원 배려해주는 회사라는게 느껴진다.,"일본이랑 같이 일하는 부서라면 답답함의 극치를 느낄 수 있고, 점점 일본 종속형 회사로 변해가는 듯.","재택이 가장 큰 장점입니다
연봉도 높게 주고, 이직할 때 마켓에서도 잘 팔립니다.","체계가 없습니다...
경영진이 직원들에게 딱히 관심도 없고, 몸만 큰 스타트업입니다.","주 32시간 근무
초과근무 수당으로 보상받는 급여
의료비 등 복지
재택근무",심각하게 무능한 모회사 때문에 회사의 미래가 안보임..,워라벨좋고 복지좋음. 업계대비 페이도 나쁘지않은것같음.,"위로올라가기 힘든 구조, 몸집만큰 스타트업 구조적인문제가 많음","이름이 유명한 회사
돈은 많이 주는 편 같지만...맞나..?","복지가 사실상 없음
돈지 복지(?) 잘 모르겠음

고용 불안.
평생 직장은 없다지만...고용 불안
스쳐가는 곳","동종 업계 최고 대우
동료 직원
현금성 복지
연차 및 병가","동종 업계만 비교를 하는 대우
익스터널 상사
연봉 인상폭","모두가 일을 잘하고 친절한 것 같음
회사 뷰가 좋음
밥 나오고 간식 많음","내가 못하면 안됨
미팅 너무많음 내 일은 언제","서로 존중하며 일하는 문화, 커리어적으로도 사업적으로도 성장을 추구하는 분위기, 최소한의 매너는 지키는 사람들, 글로벌하게 일할 수 있는 여러 기회",규모가 커진 만큼 의사결정 과정이 길어지고 얼라인할 사람들이 많아짐. 빠른 결정보다는 신중한 결정이 훨씬 많아져서 대기업같다는 느낌이 들때가 많음.
14,동기들이 뛰어난 사람이 많음 네임밸류에 걸맞은 각종 복지 나쁘지 않음,리더급 인사들이 생각보다 노답이다 뛰어난 리더십을 바란건 아니었으나 기본만 했으면.. 생각보다 퇴사하는 사람도 많음,"유연근무제
그래도 아직까진 자유로운 문화와 네임드
보험, 호텔 등 은근 쏠쏠한 복지","연봉
노답 경영진
안보이는 미래
카카오톡에 의존도가 너무 큼","하이브리드 워크로 어디서든 근무 가능
이직 시 재택여부를 먼저 살펴보게 됨","팀바팀이 심하겠지만, 기대한것과 달리 협업과 소통이 상당부분 적었음. 니 일은 니가 해야지 마인드..?",출퇴근 시간 없고 편하게 일 할 수 있는게 최고의 장점,단순 업무지만 일이 많고 출퇴근 시간이 없는 대신 애매한 시간대에 근무함,"32시간 근무
연장근무 수당
점점 줄어들 예정이지만 아직 남은 재택근무"," 마이크로 매니징 문화
고인물을 넘어선 썩은물이 많음
생각보다 낮은 기술 수준
모회사 리스크","미국애들 일히는게 느려서 나도 느려짐, 급할 필요가 없음","개발자가 오류로 버그 만들어놓고 수정/롤백하면 지가 칭찬/주목 받음. 버그 영향 받는 사업이나,사용자만 피말림",커리어 개발과 업무이동에 관련직무내에서 자유로운 편. 매니저와 사람들은 좋음 나름대로 친근한 문화를 만드려 노력함,"업무 방식과 KPI가 그저 직원을 감시하기 위함인듯함.
코리아가 문제라기보단 하루에 한번씩 리포팅이 오고 업무 플랫폼 자체가 쉴 틈을 주지 않음. 뭐든 사람이 적응하고 익숙해지면 괜찮지만, 객관적으로 쉽지 않은 업무 환경임","현금성 복지 시스템이 좋고 특수한 상황이 아닌 이상 정시 퇴근 가능
애플이라는 대기업의 리테일 운영 방식 경험 가능","시프트 근무 제도, 주말 근무
휴가를 쓰기 쉬운 듯 어려운 듯
개인 커리어 성장에 도움이 되는 점은 안보임","밥이 잘나옴
출퇴근 자유
도심지에서 주차자유
지인방문 가능","한국화된 외국계 기업이다 보니
밑에 직급 사람들이 업무를 많이함","외국계 기업다운 수평적 분위기.
연차사용 자유롭고 워라벨 보장됨.
좋은 동료들!","멀리서 보면 워라벨 보장이 되는 것 처럼 보이지만
퍼포먼스 압박이 심해서 퍼포 낮으면 두배 세배 더 근무해야함. 푸쉬 심함"
15,"열정을 가진 직원들과 함께 일할 수 있다는 것이 장점, 아직 재택 근무가 유지되고 있음","일이 너무 많아서 워라밸이 좋지 않음, 입사 후 매년 급야와 복지가 안좋아지는 중","사옥이 깔끔하고 좋다
간식이 무한제공된다
업무 분위기가 수평적이다",조직이 불안정한 느낌이 든다 (. 오너리스크 등등..),"실력있는 사람 많음
좋은 사람도 많음
복지 나쁘지 않음","보상구조 차등을 크게 두지 않아서 다들 일 안하려고 함
만약 열심히 하는 사람이 있다면 아무렇지 않게 일을 몰아줌
좋은사람 콤플렉스 분위기가 만연하기 때문에
일 열심히 안해도 쓴소리도 못함.
회사 생활을 어떻게 할건지는 각자의 선택.","뭐를 하던 초스피드를 경험.
돈은 많이 줌.
글로벌 기업이라 영어 쓸일이 많음","사람을 달달볶는 문화
모든 시행착오를 전사가 모두 겪는..","수준높은 동료
플랫폼에 대한 많은 고민과 히스토리 적재
푸드 딜리버리 높은 업력과 기술, 노하우, 경험
복지, 처우, 문화"," 일이 많다.
커머스는 더 할게 많다.
DH",어직까지는 훌륭한 네임밸류. 좋은 복지 훌륭한 연봉. 우수한 동료.,최근 워라밸이 낮아짐. 매출 하락으로 인한 평판 저하가 우려.,훌륭한 동료 분들이 많아서 배울 수 있는 부분이 많습니다. 스스로 부지런하게 움직이면 좋은 커리어를 쌓을 수 있습니다.,듣던대로 워라밸은 포기해야합니다. 열정과 건강을 다 갈아넣는 느낌입니다. 그리고 매니저...하... 밖에서 보는 AWS와 안에서 겪는 AWS가 많이 다릅니다.,"좋은 급여, 커리어 프로그레스 기회 있음, 리더쉅 레벨에서 지원해 줄 수 있는 건 최대한 지원 해주려함, 맥카페 무료는 아니지민 비교적 저렴하고 맛있음, 월&금 재택 개꿀",뛰어난 사람들이 많고 업무기준이 높아서 힘든거 말곤 모르겠음 다만 이 또한 나의 성장동력일테니.," 밥이 나옴
출퇴근이 자유로움
돈을 많이 줌
휴가 무제한"," 근데 밥이 별로
컬쳐는 이제 그냥 한국회사
꼰대 많음","워라벨 외치기 가능, 그만큼 본인 성과에 따른 책임도 져야하긴 함
구내식당","한국마켓 특성을 고려하지 않는 타겟
가면 갈수록 빡세짐
생각보다 정치적인 몬 있음"
16,"업계 최고수준의 복지와 급여
풀재택 가능한 근무제가 최고 강점
국내 IT 커리어의 끝판왕","경쟁적인 편이고 사무적인 분위기
끈끈한 팀워크를 원하는 사람은 안맞을 수 있음",좋은 동료들과 함께 일할 수 있음. 유연근무제. 판교역과 회사 건물이 이어져 있어서 출근할 때 편함.,방향도 못 잡고 회사엔 관심없이 자기들 한탕할 거리만 찾는 경영진.,"수평적인 소통과 자유로운 문화
워라벨 보장
풀재택이라는 엄청난 강점
나름 괜찮은 복지","일본 법인이 주도권을 가지고 있는 느낌
일본 특유의 보수적인 문화",성장할 수 밖에 없는 환경이 주어져서 스스로 강해지게 되는 거?,워라밸은 생각할 수 없을만큼 일이 많고 복지가 거의 없다시피 한 것,여러 회사를 많이 경험하고 오신 분들도 사내 문화가 정말 좋은 편이라고는 많이들 말씀하세요.,다만 사회초년생이 첫 회사로 다니기에는 여러 어려움이 많은 듯합니다..주도적으로 프로젝트를 수행해 나가는 태도가 필요한데 아직 업무 사이클을 체계적으로 배울 기회가 없던 주니어에게는 많이 벅차게 느껴졌어요.,복지 연봉 굳이 챙길려면 챙길 수 있는 워라밸 똑똑한 직원들,KPI채우는건 기본이며 그 이상을 해서 뭔가를 계속 보여줘야함,클라우드 서비스에 대해서 새롭게 배울게 정말 많아서 계속 공부가 필요함,워크 라이프 밸런스라는 말처럼 일과 내 삶이 분리가 안됨,"체계가 잘 잡혀있음
빌런들이 1,2명 생겨도 회사 분위기와 체계가 잘 잡혀있으니 그사람이 물을 흐리는일이 오래가지 않음
복지가 많음","매주 스케쥴 근무로 인한 개인생활은 균형적이기 어려움
계속 결과 추진을 위해 무언가를 해야하는게 지칠때가 있음","업계 최고의 플레이어들이 모여있다
일 자체가 재미있다. 콘텐츠니까.","늘 일과 함께 하는 삶을 살게 됨
속도도 빠르고 양도 엄청남","워라밸 챙기기에는 좋은 직장
사람 많지만 구내식장 이용 가능","보이지 않는 차별
생각보다 정치적이어야 함
지켜지지 않는 구글리니스"
17,"안정적인 회사 운영과 성장 가능성
자율적인 업무 환경과","졍치로 인한 인사제도가 심함
음흉한 동료 문화
능력있는 사람도 평준화가 되는 문화","어시스턴트였는데도, 일반 직원들과 동일한 복지를 주었습니다.
일도 많아서 덕분에 많은 경험 쌓고 가네요","카카오의 안좋은 얘기가 들려올때마다 마음이 아픕니다
제 회사는 아니었지만.. 꼭 잘되었으면좋겠습니다","워라밸이 보장됨, 전체적인 엔지니어 수준이 괜찮음.
인프라가 안정적이고 지원을 잘해줘서 개발하기 편안함.",야후와 합병하며 사실상 라인이 먹힌 그림. 앞으로 성장 동력을 잃고 가라앉을 회사처럼 보인다.,"회사의 미래가 창창함, 국내 시장에서도 성장할 기회가 많이 보이고 잘 하고있기도함
외국인들과 일하는 경험도 신선함","개인은 회사의 성장을 위한 부품이고 개인들도 그점을 잘 인지하고 있음, 회사에 로열티가 느껴지지 않음
한국인이 을이라 한국인들이 외국인 시중 들어주는 느낌임","사내복지 좋고, 주32시간 근무가 무엇보다도 장점. 비교적 좋은 기업문화","독일 인수합병 이후, 전형적 외국기업 지사로 변하고 있어 업무수행시 현실과의 과리감이 큼","똑똑하고 열정적인 사람들과 일할 수 있는 최고의 기회
엄청난 수준의 autonomy","조직이 많아서 협업이 힘들때가 많음
정확한 방향성과 지시를 원하면 매우 힘듦","어디서도 볼 수 없을 만큼 훌륭한 동료들과 일할 수 있음
급여 수준 넘사벽","분야의 특성상 매우 바쁘고 스트레스가 많음
출장이 많고 영어에 대한 압박이 있음","워라벨(퇴근 후 업무적인 연락X), 팀by팀
알바처럼 일만하고 퇴근 가능
이상한 사람들도 많지만 좋은사람도 많음
애플제퓸 할인
현금성 복지
자유로운 병가 및 연차
사내 규정만 잘 지키면 정년까지 재직 가능","열심히 해도 오르지 않는 연봉, 승진해도 비슷한 연봉
특정 부서에서 왕따 및 따돌림 심함
뒷담이 너무 심함
다양성에 대해 강요비슷한 강조
열심히 한사람과 하지않은 사람에 대한 결과나 보상이 비슷함
하는일에 대해 반복적인 부분이라 업무적으로 발전하는데 한계가 명확함","우선 사내 문화가 선진적, 수평적이어서 업무를 꽤 효율적으로 할 수 있음. 한국 컨텐츠 자부심! + 너무 좋은 직장 동료들!","좀 바쁨. 그러나 시즈널리티가 있는 것 같고, 유연하게 시간 스케줄링할 수 있어서 괜찮은듯.",자율근무제가 무척이나 자유로워서 근무중에 잠깐 짬내서 개인 볼일보기 쉬움,아무래도 외국회사다보니 개인주의적인 회사 느낌이 매우 강함
18,"재택.. 최고임.
자유롭게 시간을 쓸 수 있다는게 최고의복지
한국에서 가장 유저가 많은 서비스를 만져볼 수 있다는 메리트 (잘나가는 서비스의 경우 의미있는 경력을 가질 수도 있다는 의미)
회사에 병원있는 것도 좋음","위치.. 위치 구림!
워라밸도 구림!
이 단점을 재택이 상쇄하는 것이니 없어지면 망함 ㅎㅎ
생각보다 수직적이고 탑다운 업무가 많음
돈 별로 안줌 기대 대비 네이버는 짠돌이임","이것저것 많이 챙겨줌
사내 복지가 매우 다양함
만족스러운 오피스","열린 척 하지만 본질은 그렇지 않은 꼰대 존재
업무량 꽤 많음"," 연봉
 재택 근무, 복지 포인트, 재택 지원금 등 다양한 복지 혜택
 다양한 배경의 인재들을 만날 수 있는 기회
등등","일본과 합병으로 인해 퇴화되는 듯한 기업문화 및 사업 방향성 등
개개인의 성장과 회사의 성장이 여러 부분에서 우려됨","재택 (사실상 없어져가는 추세)
워라벨 - 눈치 덜보고 퇴근, 자유로운 연차
이츠 업무를 보지만 쿠팡 소속","팀장바이팀장 중 최악
팀의 업무는 어필도 안되고 팀장만 배불림
휴먼매니징 없음
멘토 없음
인사팀 없음, 그냥 리크루팅팀
보고를 위한 업무
거의 주단위로 변경되는 케이피아이
주니어 연봉인상률 최악
주니어 프로모션은 오롯이 팀장의 능력
현금성 복지 없음","워라벨, 복지, 사내문화 다 너무 좋아요! 일하기좋은 환경을 만들려고 노력함
근데 코로나시기에 입사해서 강점이라는 사내문화(피플실..)를 잘 체감하지는 못함","팀 잘못걸리면 커뮤니케이션에 체계가 너무 없어서 상사들 사이에서 새우등터지는 일이 발생함
","사내 문화, 복지, 워라벨이 가장 좋았습니다. ",성장 기회가 직군에 따라 어렵기도 합니다. 회사가 멀어요.,일본 아마존에서 일하는데 워라벨은 최고인듯. 본인이 원하는 시간에 일할 수 있어서 좋음. 일이 없으면 없는대로 플렉시블하게 일할 수 있고 딱히 터치 없음.,"개개인의 역량, 실무 능력으로 보면 출중한 사람들은 많으나 리더십이 부족한 매니저가 대부분.","직원들의 성장과 발전을 중요하게 생각함
워라벨 좋음
복지 좋음","리테일 중 급여는 상
사무직과 비교하면 아쉬운 급여
급여 제외하고는 만족스러운 회사","본인 스케줄 일정부분 본인이 관리 가능
서로에게 쓸데없는 관심이 없다","나빼고 다 잘난것같아서 자괴감 들 때 있음
장점이 될 수도 있는데 조직이나 프로세스가 지속적으로 바뀐다",일과 사생활 둘다 존중받는 회사. 가족같은 동료들과 함께함,매니저들과 리더십에 변화가 필요하다고 생각한다. 매니저가 될수있는 기회들이 많이 없다.
19,"젊은 층에 맞는 복지제도
생각보다 자유로운 문화","고인물들이 많은 회사
경력직이 대거 들어오면서 각자 전회사의 이상한 문화를 가져옴","같이 일하는 사람들은 다들 좋음.
아직은 카카오 이름 자체는 나쁘지 않은듯.","회사 안밖으로 너무너무 어수선함
미래 동력이 뭔지 알수가 없음. 10년뒤에 있을지도 잘 모르겠다.",팀원들이 다 너무 좋음. 복지 아주 좋음. 수평적인 커뮤니케이션,워라밸이 좋은 편은 아님. 꾸준히 자기개발하지 않으면 고이기 쉬움.,눈이오나 비가오나 풀 재택근무 (워라밸이 좋음)/ 부바부지만 칼퇴 가능,재택 이외의 모든 것. 돈도 적고 일도 빡셈 물론 안빡셀때도 있음,"보상이나 문화가 압도적으로 무난하다
영유아 아이와 함께라면 더욱 좋을 것 같다","부서에 따라 과중한 업무량
만연한 주먹구구식 일처리
흐릿한 비전",자유로운 기업문화. 팀원들이 다들 나이스하고 빠르게 성장할 수 있음.,"조직에 체계가 없음. 잦은 조직개편. 좋지 않은 워라밸. 회사의 비전이 안 느껴짐.
(서울이라고 적었는데 멘로파크임)","aws가 무료다
기술 전문가가 주변에 많다. 동료에 댜한 만족도는 최고
자유로운 근무 환경과 문화
트랜디한 기술을 접하고 역량을 키우기엔 좋다","급여가 높지 않다
예전 AWS문화보다 많이 퇴색됐다
관리가 들어오면서 고용 불안정이 조금씩 느껴진다
비용 압박이 들어올땐 정말 심하다
개인 역량에 따라 결과가 다르다","법적으로 지정된 복지는 눈치볼 필요 없음
학벌에 따른 진입장벽 낮음","급여가 적고 인센티브 없음
개인 퍼포먼스로 급여 인상 달라지는부분 미비함","스스로 워라밸 관리 가능
능동적으로 일하는 사람에게는 잘 맞는 회사","일이 많음.
은근히 서비스직. 스트레스가 많음
수동적으로 일하는 사람에게는 힘들 회사.","구글이라는 브랜드

그 이상도 이하도 없는 곳. 지사라는 한계로 인하여 개선을 하기조차 힘든 곳.","힘들게 면접 뚫고 들어왔더니, 실상은 바깥 세상의 변화에 무지한 고인물들이 신입들을 괴롭히는 구조.

매주 잡히는, 새벽까지 술 강요하는 회식
부적절한 언행과 업무 방식을 리포트 해도 개선 없음
지사라 권한 없음"
20,"뛰어난 동료들과의 협업, 겪어보지 못한 규모의 사용자 풀","워라벨은 없음, 뛰어난 동료들 사이에서 뒤쳐지면 안된다는 불안감","IT 특유의 자유로운 분위기가 두드러짐
개발직군이면 더욱 크게 다가옴","근래 들어 어수선한 분위기가 지속되고 있음
향후 귀추에 주목해볼 필요가 있음",재택 가능. 다들 능력자라 빌런 없음. 사내 문화 좋음,일본 영향도가 높아지고 있어서 유연한 사업 운영이 어려움,"수준높은 동료들과 합리적인 의사결정
그리고 높은 수준의 급여","이또한 성장의 기회겠지만,
영어는 어느정도 할 줄아는 것이 여러모로 좋다.","32시간과 재택
소소한 복지
그러나 여러 단점들로 힘듬","우아한 소통에 갈려나라는 정신
무슨일 하는지 모르겠지만 하라 하는 탑라인","보상은 잘준다.
수평적 문화로 꼰대가 없다.
다른 회사에서 오퍼가 많이 온다.","업무에 대해 잘 하면 좋지만, 뒤쳐지면 노답
엔지니어 특성상 본사와 일하는데 시차가 빡시다.",일을 찾아서 하는 느낌이고 훌륭한 동료가 많은 편이라 서로 배우고 성장하는 경험 가능,목표지향적인 사람들만 모아놓다 보니 경쟁적이고 자기중심적이지 않으면 살아남기 힘듬,"네임벨류
할인 및 기타 현금성 복지
스케줄근무( 좋은 사람만)
왜 여기 있어..? 싶은 팀원이 매우 많음 능력있는 친구들과 좋은 친구들이 대거 포진
주식 (ESPP / RSU - 다만 리테일팀은 서포트4, 리더쉽 아니면 그닥)
애플 스토어도 애플 직원 맞음. 그냥 팀이 리테일일뿐임.","연봉
월급
식대
연봉
연봉
쥐꼬리 주식
무능이들의 리더쉽
시기질투 많는 팀원들 흡사 여초랑 동일
뒷말 많이 함( 앞뒤다름)
스케줄 개극혐 수준( 리테일)
회사시스템 자체가 진짜 노답 대기업맞나
열받는 애플식 화법","보고 없이 스스로 결정하여 업무 진행가능하고 정보에
대해서 서로 공개하려고 노력함(한계가 있지만)",커리어의 성장을 신경쓰진 않음. 각자 알아서 일하면서 좋은 기회를 모색,"사람들의 높은 의식 수준, 함께 배워가고 성장해나감을 추구하는 문화","젊고 자유롭지만 때때로 과함
역시 회사는 회사다
리더십에 대한 지나치게 높은 기대"
